"kolam_png_hash","artist_id","jathi_standard_all","size","entropy","entropy_exponentiated","total_gestures","n_unique_gestures","gesture_gini","density","age","duration_practice"
"03bd58a","a05",11,5,1.48,4.39294568091876,28,5,0.285714285714286,1.12,24,9
"10dc0b9","a05",11,3,1.23,3.42122953628967,18,4,0.37037037037037,2,24,9
"34ac4d0","a05",11,5,1.15,3.15819290968977,28,4,0.428571428571429,1.12,24,9
"38830b6","a05",11,5,0.74,2.09593551449436,32,3,0.625,1.28,24,9
"7ccf006","a05",11,3,1.05,2.85765111806316,20,3,0.2,2.22222222222222,24,9
"86952f7","a05",11,7,1.19,3.28708120738312,57,5,0.614035087719298,1.16326530612245,24,9
"be54c6e","a05",11,3,1.04,2.82921701435156,16,3,0.25,1.77777777777778,24,9
"1d3883f","a05",11,6,1.33,3.78104338756878,56,5,0.5,1.55555555555556,24,9
"88563e2","a05",11,8,1.4,4.05519996684467,88,6,0.527272727272727,1.375,24,9
"9a15c73","a05",11,7,0.95,2.58570965931585,64,4,0.625,1.30612244897959,24,9
"f98e308","a05",11,5,1.26,3.52542148736538,32,4,0.333333333333333,1.28,24,9
"6890c50","a05",11,7,1.34,3.81904350536634,57,5,0.473684210526316,1.16326530612245,24,9
"7644dd8","a05",11,5,1.31,3.7061737122102,48,4,0.277777777777778,1.92,24,9
"7dd6028","a05",11,9,1.73,5.64065390842832,88,8,0.441558441558442,1.08641975308642,24,9
"1ec9663","a4j",12,8,1.18,3.25437420288967,100,5,0.6,1.5625,46,28
"435a797","a4j",12,10,1.04,2.82921701435156,64,3,0.25,0.64,46,28
"8ee4066","a4j",12,6,1.71,5.528961477624,37,7,0.432432432432432,1.02777777777778,46,28
"a74b3be","a4j",12,8,1.37,3.93535069547047,78,6,0.528205128205128,1.21875,46,28
"11b36a2","a4j",12,7,1.24,3.45561346476268,44,4,0.393939393939394,0.897959183673469,46,28
"6a8afe8","a4j",12,5,1.57,4.80664819377518,28,6,0.4,1.12,46,28
"7ee95fa","a4j",12,4,1.35,3.85742553069697,28,4,0.142857142857143,1.75,46,28
"8288778","a4j",12,3,1.04,2.82921701435156,16,3,0.25,1.77777777777778,46,28
"856b2c5","a4j",12,7,1.63,5.10387471853673,52,6,0.353846153846154,1.06122448979592,46,28
"b22995a","a4j",12,7,1.28,3.59663972556928,57,6,0.628070175438596,1.16326530612245,46,28
"b8e93e0","a4j",12,7,1.04,2.82921701435156,49,4,0.578231292517007,1,46,28
"bd7fd86","a4j",12,3,0.97,2.63794445935415,16,3,0.375,1.77777777777778,46,28
"f0578be","a4j",12,7,1.42,4.13712044025139,40,5,0.4,0.816326530612245,46,28
"fa79328","a4j",12,3,1.2,3.32011692273655,17,4,0.411764705882353,1.88888888888889,46,28
"03638b5","abk",6,7,1.2,3.32011692273655,48,4,0.444444444444444,0.979591836734694,36,23
"3640590","abk",6,7,1.24,3.45561346476268,44,4,0.393939393939394,0.897959183673469,36,23
"ae0ec0e","abk",6,4,0.76,2.13827622049682,44,3,0.636363636363636,2.75,36,23
"cdab155","abk",6,5,1.79,5.98945246638311,24,8,0.404761904761905,0.96,36,23
